Density, Generation, Alive ones
0,2,0,111
0,2,20,79
0,2,40,48
0,2,60,49
0,2,80,53
0,2,100,38
0,2,120,16
0,3,0,172
0,3,20,110
0,3,40,105
0,3,60,92
0,3,80,70
0,3,100,91
0,3,120,64
0,3,140,67
0,3,160,42
0,3,180,48
0,3,200,58
0,4,0,256
0,4,20,116
0,4,40,79
0,4,60,81
0,4,80,44
0,4,100,47
0,4,120,50
0,4,140,49
0,4,160,109
0,4,180,74
0,4,200,91
0,4,220,129
0,4,240,39
0,4,260,50
0,4,280,73
0,4,300,45
0,5,0,309
0,5,20,85
0,5,40,63
0,5,60,99
0,5,80,65
0,5,100,73
0,5,120,43
0,5,140,80
0,5,160,83
0,5,180,49
0,6,0,360
0,6,20,39
0,6,40,35
0,6,60,64
0,6,80,64
0,6,100,32
0,7,0,403
0,7,20,34
0,7,40,51
0,7,60,78
0,7,80,75
0,7,100,93
0,7,120,78
0,7,140,91
0,7,160,120
0,7,180,87
0,7,200,91
0,7,220,119
0,7,240,66
0,7,260,78
0,7,280,57
0,7,300,81
0,7,320,86
0,7,340,114
0,7,360,42
0,7,380,25
0,7,400,56
